run_id,task,model,effort,run_number,timestamp,provider,auth_mode,reasoning_effort,exit_code,verify_passed,verify_exit_code,run_valid,incomplete_reason,score,functional_score,scope_score,checks_json,wall_clock_ms,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,thinking_tokens,total_tokens,total_cost_usd,num_turns,tool_call_count,subagent_spawn_count,tool_breakdown,model_used,stop_reason,claude_version,result_text_length,parse_errors,judge_scope_compliance,judge_code_quality,judge_approach_efficiency,judge_over_engineering,judge_overall
01_rename_claude-opus-4-7_high_run1_1778750028,01_rename,claude-opus-4-7,high,1,2026-05-14T11:15:33+02:00,claude,subscription,high,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""62 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",100241,12,9788,201603,25506,0,236909,0.505459,23,22,0,Bash=3;Grep=3;Read=8;Write=8,claude-opus-4-7,success,2.1.141 (Claude Code),888,,,,,,
01_rename_claude-opus-4-7_high_run1_1778755792,01_rename,claude-opus-4-7,high,1,2026-05-14T12:51:23+02:00,claude,subscription,high,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""62 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",86112,12,8171,201556,24335,0,234074,0.45769174999999995,23,22,0,Bash=3;Edit=1;Grep=3;Read=8;Write=7,claude-opus-4-7,success,2.1.141 (Claude Code),806,,,,,,
01_rename_claude-opus-4-7_high_run2_1778755884,01_rename,claude-opus-4-7,high,2,2026-05-14T12:53:31+02:00,claude,subscription,high,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""62 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",122489,27,8703,714662,22774,0,746166,0.7178634999999998,22,21,0,Bash=3;Edit=1;Grep=2;Read=8;Write=7,claude-opus-4-7,success,2.1.141 (Claude Code),597,,,,,,
01_rename_claude-opus-4-7_high_run3_1778756011,01_rename,claude-opus-4-7,high,3,2026-05-14T12:55:32+02:00,claude,subscription,high,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""62 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",116521,27,8280,710554,22722,0,741583,0.7049095000000001,22,21,0,Bash=3;Edit=1;Grep=2;Read=8;Write=7,claude-opus-4-7,success,2.1.141 (Claude Code),749,,,,,,
01_rename_claude-opus-4-7_low_run1_1778748899,,,,,,,,,,,,false,missing run_meta.json;missing metrics.json;missing verify_result.json,,,,,,,,,,,0,,,,,,,,,,,,,,,
01_rename_claude-opus-4-7_low_run1_1778748961,01_rename,claude-opus-4-7,low,1,2026-05-14T10:58:47+02:00,claude,subscription,low,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""62 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",149478,35,6932,1040644,25521,0,1073132,0.85378825,30,29,0,Bash=3;Edit=15;Grep=2;Read=9,claude-opus-4-7,success,2.1.141 (Claude Code),537,,,,,,
01_rename_claude-opus-4-7_low_run1_1778755329,01_rename,claude-opus-4-7,low,1,2026-05-14T12:42:55+02:00,claude,subscription,low,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""57 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",40707,14,1773,246771,12805,0,261363,0.24829675,9,8,0,Bash=4;Edit=2;Grep=1;Read=1,claude-opus-4-7,success,2.1.141 (Claude Code),211,,,,,,
01_rename_claude-opus-4-7_low_run1_1778849837,,,,,,,,,,,,false,missing run_meta.json;missing metrics.json;missing verify_result.json,,,,,,,,,,,0,,,,,,,,,,,,,,,
01_rename_claude-opus-4-7_low_run2_1778755375,01_rename,claude-opus-4-7,low,2,2026-05-14T12:43:29+02:00,claude,subscription,low,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""57 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",29164,11,1241,154037,11482,0,166771,0.180346,6,5,0,Bash=3;Grep=2,claude-opus-4-7,success,2.1.141 (Claude Code),125,,,,,,
01_rename_claude-opus-4-7_low_run3_1778755410,01_rename,claude-opus-4-7,low,3,2026-05-14T12:45:25+02:00,claude,subscription,low,0,true,0,true,,1.0,1.0,,"{""accountId_present"": {""details"": ""      57 occurrences"", ""passed"": true}, ""diff_size"": {""details"": ""62 insertions"", ""passed"": true}, ""distractor_UserID_comment"": {""details"": ""       1 preserved"", ""passed"": true}, ""distractor_userIdentifier"": {""details"": ""       3 preserved"", ""passed"": true}, ""distractor_useridx"": {""details"": ""       1 preserved"", ""passed"": true}, ""tests_pass"": {""details"": ""jest exit 0"", ""passed"": true}, ""tsc_compiles"": {""details"": ""tsc --noEmit exit 0"", ""passed"": true}, ""userId_eliminated"": {""details"": ""0 occurrences"", ""passed"": true}}",110499,29,8048,828377,26946,0,863400,0.7844310000000001,24,23,0,Bash=4;Edit=1;Grep=2;Read=8;Write=8,claude-opus-4-7,success,2.1.141 (Claude Code),397,,,,,,
